year,apt_name,total_arrival_delay_minutes,disruption_delay,capacity_delay,weather_delay,event_delay,staffing_delay,total_taxiout_additional_minutes,avg_arrival_delay_per_flight_imputed,total_arrival_delay_minutes_imputed
2018,Cologne-Bonn,6669,0,6669,0,0,0,14504.105,0.98391856,6669
2018,Cologne-Bonn,4957,0,4552,405,0,0,15520.215,0.724072451,4957
2018,Cologne-Bonn,4456,0,4282,174,0,0,17406.73667,0.663292647,4456
2018,Cologne-Bonn,6656,0,6394,262,0,0,20062.83167,0.943979577,6656
2018,Cologne-Bonn,502,0,502,0,0,0,12359.195,0.09304912,502
2018,Cologne-Bonn,1229,0,640,589,0,0,13372.63167,0.242167488,1229
2019,Cologne-Bonn,3344,126,67,3151,0,0,11871.00167,0.683285656,3344
2019,Cologne-Bonn,85,0,0,85,0,0,12683.87667,0.016390282,85
2019,Cologne-Bonn,319,0,319,0,0,0,12526.35,0.05684248,319
2019,Cologne-Bonn,1269,0,882,387,0,0,17571.70333,0.198002809,1269
2019,Cologne-Bonn,4276,0,2247,2029,0,0,16710.82667,0.663769016,4276
2019,Cologne-Bonn,3625,0,3302,323,0,0,19475.96167,0.528811087,3625
2019,Cologne-Bonn,3225,0,2783,442,0,0,20481.35167,0.474055564,3225
2019,Cologne-Bonn,2333,0,2333,0,0,0,20079.64833,0.34293694,2333
2019,Cologne-Bonn,3144,0,3144,0,0,0,20617.52,0.459581932,3144
2019,Cologne-Bonn,173,46,0,127,0,0,12869.93167,0.033301251,173
2019,Cologne-Bonn,150,0,150,0,0,0,12022.91,0.030084236,150
2020,Cologne-Bonn,94,0,0,94,0,0,10915.26833,0.018986063,94
2020,Cologne-Bonn,89,0,0,89,0,0,10707.62167,0.019025224,89
2020,Cologne-Bonn,49,0,49,0,0,0,7949.628333,0.013767912,49
2020,Cologne-Bonn,85,85,0,0,0,0,8661.788333,0.022528492,85
2020,Cologne-Bonn,151,0,67,84,0,0,8314.773333,0.041403894,151
2020,Cologne-Bonn,70,0,70,0,0,0,7864.305,0.02004008,70
2020,Cologne-Bonn,52,0,52,0,0,0,6682.093333,0.019195275,52
2020,Cologne-Bonn,729,0,729,0,0,0,7822.788333,0.254006969,729
2021,Cologne-Bonn,385,0,385,0,0,0,5614.631667,0.169528842,385
2021,Cologne-Bonn,578,0,578,0,0,0,6152.396667,0.212032282,578
2021,Cologne-Bonn,508,0,508,0,0,0,5912.14,0.189693801,508
2021,Cologne-Bonn,707,0,385,322,0,0,7040.358333,0.251601423,707
2021,Cologne-Bonn,1920,0,1791,129,0,0,8456.608333,0.53038674,1920
2021,Cologne-Bonn,6081,0,6081,0,0,0,12678.83,1.238997555,6081
2021,Cologne-Bonn,6934,2782,4152,0,0,0,13762.685,1.379625945,6934
2021,Cologne-Bonn,5160,29,5131,0,0,0,11973.305,1.033033033,5160
2021,Cologne-Bonn,6389,384,5219,786,0,0,12801.21833,1.21857715,6389
2021,Cologne-Bonn,3547,0,1764,1783,0,0,10015.53167,0.80394379,3547
2021,Cologne-Bonn,3983,0,3983,0,0,0,11689.43333,0.905227273,3983
2022,Cologne-Bonn,2269,0,1176,1093,0,0,8341.346667,0.63557423,2269
2022,Cologne-Bonn,2692,0,1256,1436,0,0,8705.458333,0.770684226,2692
2022,Cologne-Bonn,1852,0,1852,0,0,0,9518.975,0.418436512,1852
2022,Cologne-Bonn,5416,0,4007,1409,0,0,11411.43667,1.06866614,5416
2022,Cologne-Bonn,9601,2393,7208,0,0,0,13110.14833,1.680847339,9601
2022,Cologne-Bonn,8062,0,8062,0,0,0,15437.94667,1.375298533,8062
